id,Title,Post Type,Featured,footer_type,best_software_statecity_name,best_software_statecity_image,Status,Author ID,Author Username,Template,Order
,EHR - Puducherry,page,https://healthray.com/wp-content/uploads/2024/07/Best-EHR-Software-In-Puducherry-Healthray.webp,default,Puducherry,42625,draft,28,healthray,templates/template-ehr-state.php,29
,EHR - Punjab,page,https://healthray.com/wp-content/uploads/2024/07/Best-EHR-Software-In-Punjab-Healthray.webp,default,Punjab,42626,draft,29,healthray,templates/template-ehr-state.php,30
,EHR - Rajasthan,page,https://healthray.com/wp-content/uploads/2024/07/Best-EHR-Software-In-Rajasthan-Healthray.webp,default,Rajasthan,42627,draft,30,healthray,templates/template-ehr-state.php,31
,EHR - Sikkim,page,https://healthray.com/wp-content/uploads/2024/07/Best-EHR-Software-In-Sikkim-Healthray.webp,default,Sikkim,42628,draft,31,healthray,templates/template-ehr-state.php,32
,EHR - Tamil Nadu,page,https://healthray.com/wp-content/uploads/2024/07/Best-EHR-Software-In-Tamil-Nadu-Healthray.webp,default,Tamil Nadu,42629,draft,32,healthray,templates/template-ehr-state.php,33
,EHR - Telangana,page,https://healthray.com/wp-content/uploads/2024/07/Best-EHR-Software-In-Telangana-Healthray.webp,default,Telangana,42630,draft,33,healthray,templates/template-ehr-state.php,34
,EHR - Tripura,page,https://healthray.com/wp-content/uploads/2024/07/Best-EHR-Software-In-Tripura-Healthray.webp,default,Tripura,42631,draft,34,healthray,templates/template-ehr-state.php,35
,EHR - Uttar Pradesh,page,https://healthray.com/wp-content/uploads/2024/07/Best-EHR-Software-In-Uttar-Pradesh-Healthray.webp,default,Uttar Pradesh,42632,draft,35,healthray,templates/template-ehr-state.php,36
,EHR - Uttarakhand,page,https://healthray.com/wp-content/uploads/2024/07/Best-EHR-Software-In-Uttarakhand-Healthray.webp,default,Uttarakhand,42633,draft,36,healthray,templates/template-ehr-state.php,37
,EHR - West Bengal,page,https://healthray.com/wp-content/uploads/2024/07/Best-EHR-Software-In-West-Bengal-Healthray.webp,default,West Bengal,42634,draft,37,healthray,templates/template-ehr-state.php,38

